word,count
終究會,3
墜落,3
太殘忍,3
直,3
因為,12
愛很重,3
不想,12
往,3
反,3
方向,3
心有,4
鬆,1
開,1
左手,1
放縱,1
白不回,1
我輸,1
累,2
了當,1
再也,2
真的,4
愛已,1
降落,1
黑暗,1
裡誰還,1
黑色,1
心情,1
斗篷,1
假面,1
最黑,1
於,4
貪婪,1
到底,2
線,2
腳下,1
卑微,1
街,1
孤,1
獨站,1
城市,3
天際線,1
別問,1
惡類,1
善類,1
飛,1
哺乳,1
類,1
善惡,2
分界,2
立面,1
而是,1
每個,7
最後純潔,1
防線,1
逃不過,1
考驗,2
淬,1
鍊,1
拯救,1
英雄,9
電影,6
情節,5
信念,5
一句,8
誓言,3
呼喚,2
黎明,2
出現,3
抓光,1
賊,1
多年,1
來,20
目擊過,1
搶匪,1
貧窮,1
潮水,1
淹,2
人們,2
生存,1
尊嚴,1
文明,1
最顛峰,1
某天,1
蝙蝠,1
住,1
回,1
洞穴,1
罪行,1
看不見,1
法律,1
交易,1
面,1
分辨,1
只怕,1
雙耳,1
雙眼,6
壯烈,1
結局,1
越來,6
越毒,1
雨水,1
越,4
災變,1
越遠,1
前,1
律師,1
小丑,1
勾,1
結民代,1
財團,1
簽約,1
善良,1
罪惡,1
妥協,1
大,1
企業,1
小,1
公園,1
越深,1
幻滅,1
面具,1
不管,1
無法,7
全身而退,1
當我們,2
走上,1
街當,1
懷抱,1
親身,1
扮演,1
就是,8
正,1
總,4
清楚,3
明,2
瞭,2
一字一句,2
圈套,2
舊帳,2
總翻,2
完,2
無理取,4
鬧,6
雙手,4
甩,2
開剛,2
微妙,2
然後戰火,2
再燃,2
燒,2
擁抱,15
濫用,3
咆哮,3
不及,3
變老,3
葬送在,3
烽火,6
玩笑,3
真話,4
兜,3
圈子,3
亂亂,3
繞,7
知道,38
警告,4
不要,5
一直,2
形同陌路,1
變成,3
自找,1
既然,1
輕易,1
放掉,4
心跳,5
祈禱,4
遇到,3
燃燒,4
痛才,3
治療,3
我要,4
牽,3
奔跑,5
一秒,7
會不會,4
依靠,6
給我,2
微笑,7
記在,2
腦海,2
快樂,4
符號,3
節奏,3
跳躍,2
戀愛的,2
預兆,2
